bstopid,bstopnm,gpsx,gpsy,geometry,index_right,EMD_CD,COL_ADM_SE,EMD_NM,SGG_OID
206290301,김해보건소,128.869699089217,35.230778573336,POINT (370211.0013647984 294300.4981545475),,,,,
206300101,무접,128.870328302859,35.229268834142,POINT (370271.44547340856 294134.0493531213),,,,,
206300201,무접,128.869842225393,35.229891199616,POINT (370225.8879525609 294202.2763967319),,,,,
206330101,동아그린아파트,128.872505920313,35.226455373981,POINT (370475.60326940776 293825.59147968213),,,,,
206350201,동아그린앞,128.873176216758,35.225712931209,POINT (370538.1894798567 293744.3576512558),,,,,
206380101,김해중부경찰서,128.878887038211,35.225764961582,POINT (371058.0690926195 293759.95529141976),,,,,
206390201,김해중부경찰서,128.878897977525,35.226239906765,POINT (371058.0679252695 293812.67635903694),,,,,
206420101,김해세무서,128.884950333188,35.228341775578,POINT (371604.7240412418 294056.35466331383),,,,,
206420201,김해세무서,128.885083788451,35.229128228587,POINT (371615.21835991135 294143.85412818054),,,,,
206480101,김해천주교회,128.884693536225,35.232782467603,POINT (371571.9887259919 294548.6724219459),,,,,
206490101,김해천주교회,128.884396346564,35.232937426865,POINT (371544.6045755148 294565.353877569),,,,,
206490301,동광초등학교,128.886782288443,35.234280357907,POINT (371759.0013651577 294718.4981564033),,,,,
206490401,동상동,128.883328750096,35.233604201254,POINT (371446.0013650898 294637.49815602484),,,,,
206520101,김해동상시장,128.884277559156,35.236268314103,POINT (371526.7742342496 294934.76086065394),,,,,
206520201,김해동상시장,128.884564818913,35.237181871642,POINT (371551.0023464019 295036.63034523383),,,,,
206560201,김해향교,128.882316921398,35.238689639532,POINT (371343.1800026204 295200.0571761403),,,,,
206570101,김해향교,128.882303677693,35.238454452306,POINT (371342.4691769066 295173.9367329162),,,,,
206610301,롯데캐슬,128.885474917464,35.24042111533,POINT (371627.0309002424 295397.64700702095),,,,,
206630101,한덕아파트,128.888917193676,35.236605900321,POINT (371948.46132005425 294980.2486250828),,,,,
206640201,한덕아파트,128.8892336077,35.236828284441,POINT (371976.79843244597 295005.4737109739),,,,,
206670101,활천고개,128.890512147782,35.2345740867,POINT (372097.96157894324 294757.552051496),,,,,
206670301,동광초등학교,128.887360040432,35.234091110723,POINT (371812.00136513787 294698.4981565121),,,,,
206680201,활천고개,128.891102589307,35.234886504441,POINT (372151.05711650115 294793.24339971464),,,,,
206690101,선거관리위원회,128.893830358279,35.234771575432,POINT (372399.6454273391 294785.2244308271),,,,,
206690301,약수터,128.896260902125,35.237097072345,POINT (372616.0013656091 295047.49815728463),,,,,
206690302,어방동원아파트,128.899697287259,35.240323466398,POINT (372922.0013662322 295411.49815696914),,,,,
206690303,대우유토피아후문,128.900311998228,35.242188268557,POINT (372974.00136666815 295619.4981566883),,,,,
206700201,선거관리위원회,128.89396663797,35.235046880085,POINT (372411.46997938683 294816.0103976652),,,,,
206730101,미소지움아파트,128.898886989037,35.235068177581,POINT (372859.3891198947 294826.93107943004),,,,,
206740201,미소지움아파트,128.898742439352,35.235348693365,POINT (372845.6335020968 294857.8069175973),,,,,
206760101,SK브로드밴드,128.902294265826,35.23531714054,POINT (373169.0691835694 294860.49628778966),,,,,
206780201,SK브로드밴드,128.90340957681,35.235640907281,POINT (373269.92157440656 294898.3695531906),,,,,
206810201,자성공원,128.904539619909,35.238513951536,POINT (373366.68713653344 295219.1517813546),,,,,
206820101,자성공원,128.904193245013,35.238421691015,POINT (373335.34975224396 295208.3090768792),,,,,
206850101,어방마을,128.904150568974,35.241726586689,POINT (373324.4295337808 295574.9643570272),,,,,
206850201,어방마을,128.903875330117,35.241075284077,POINT (373300.7591863625 295502.2114986443),,,,,
206860301,약수터,128.896341191657,35.236771388559,POINT (372624.0013655183 295011.4981572918),,,,,
206860302,어방동원아파트,128.8999105918,35.240049762839,POINT (372942.00136617396 295381.49815714185),,,,,
206860303,대우유토피아후문,128.900684922507,35.242164386958,POINT (373008.00136658567 295617.4981567776),,,,,
206870201,대우유토피아,128.903754446654,35.243314839991,POINT (373284.9878525665 295750.51420050324),,,,,
206880101,인제대학교,128.904056881861,35.244655093101,POINT (373309.6666683103 295899.76442642557),,,,,
206910201,인제대학교,128.903741922872,35.246647493577,POINT (373276.7543219987 296120.3025529415),,,,,
206930101,인제공원,128.904509123005,35.24804184938,POINT (373343.6235854379 296276.36820803845),,,,,
